"ARPT_ID","ARPT_NAME","x","y"
"0J0","ABBEVILLE MUNI",-85.2383083302187,31.6002222199929
"2A8","ADDISON MUNI",-87.1581583302235,34.2171416597375
"AL03","STRICKLAND/SMALLEY FLD",-87.7138888798259,32.8474999996989
"EET","SHELBY COUNTY",-86.7832222197314,33.1777777696517
"8A0","ALBERTVILLE RGNL/THOMAS J BRUMLIK FLD",-86.2557500000727,34.2291111100671
"ALX","THOMAS C RUSSELL FLD",-85.9629444404378,32.9147499996459
"AIV","GEORGE DOWNER",-88.1971749999529,33.1067444403071
"79J","SOUTH ALABAMA RGNL AT BILL BENTON FLD",-86.3922222197329,31.3083611103425
"ANB","ANNISTON RGNL",-85.8581111096631,33.5881666599422
"1M3","ARDMORE",-86.8832777699376,34.9790833297321
"26A","ASHLAND/LINEVILLE",-85.8089652704124,33.2841972197448
"AL60","DUGGER'S FLD",-86.211365269557,33.8387097202546
"56AL","BEECHWOOD AIRPARK",-87.1745833298976,34.7727777698213
"0R1","ATMORE MUNI",-87.4467499997602,31.0161388801336
"AUO","AUBURN UNIVERSITY RGNL",-85.4339999997077,32.6151111102094
"1R8","BAY MINETTE MUNI",-87.8193333299968,30.8703333301053
"5R7","ROY E RAY",-88.2111944397553,30.455249999824
"EKY","BESSEMER",-86.9263055503008,33.3126111102218
"BHM","BIRMINGHAM-SHUTTLESWORTH INTL",-86.7523055502832,33.5638888798556
"AL40","BONHAM",-86.9858277701096,33.5431619400155
"AL29","NEW HORIZON",-86.6333266598335,34.1292638797218
"8AL3","FRICKS FLD",-86.0885666598743,34.1417666600042
"3AL6","TOWN & COUNTRY AIRPARK",-86.4124722198356,33.6567777701048
"AL30","ROCKY SPRINGS AIRPARK",-87.0777777703033,33.9908333298624
"12J","BREWTON MUNI",-87.0672666604189,31.0507113800459
"09A","BUTLER/CHOCTAW COUNTY",-88.1274722197416,32.1193055502698
"61A","CAMDEN MUNI",-87.339111109979,31.9797500000555
"AL32","FLYING BK RANCH",-85.6437138803017,34.322588879765
"AL27","HEADQUARTERS",-85.5657938796065,34.1056527697709
"PYP","CENTRE-PIEDMONT-CHEROKEE COUNTY RGNL",-85.6100833303115,34.0899166603476
"0A8","BIBB COUNTY",-87.0905472196591,32.9369388801659
"5AL1","MC GOWIN FLD",-86.6819169395901,31.6807127703558
"5R1","ROY WILCOX",-88.1944266303923,31.4516668796354
"6AL6","HAWTHORN PINES",-88.0925833303627,31.3885833297399
"02A","CHILTON COUNTY",-86.611432469673,32.8504844697832
"01AL","WARE ISLAND",-86.5138683304319,32.9459561101407
"11A","CLAYTON MUNI",-85.485224720189,31.8833244398575
"1AL2","TRI-L ACRES AIRPARK",-86.597916659555,33.2471527699222
"9A4","COURTLAND",-87.3485580504249,34.6581583297877
"AL51","FLYING C'S PLANTATION",-85.2991666601637,32.4161111098546
"15A","MARK REYNOLDS/NORTH MOBILE COUNTY",-87.9963333302626,30.9091388797375
"CMD","CULLMAN RGNL/FOLSOM FLD",-86.858035270354,34.2687024998887
"4R9","JEREMIAH DENTON",-88.1274730497849,30.2604816600033
"4AL3","TREEO",-87.8225833295918,30.5918055501551
"54AL","BELFOREST FLD",-87.8213333301622,30.5975375002128
"DCU","PRYOR FLD RGNL",-86.9453611099776,34.6540555503557
"DYA","DEMOPOLIS RGNL",-87.9540555497368,32.4638333298205
"DHN","DOTHAN RGNL",-85.4494722201404,31.3210277703255
"14J","CARL FOLSOM",-86.090336110117,31.4100416601971
"7AL9","HORAK",-87.543911109849,30.469227770023
"AL08","PERDIDO WINDS AIRPARK",-87.5367055495803,30.4250083303402
"AL55","SHIELDS",-87.4638683299504,30.4418638796459
"EDN","ENTERPRISE MUNI",-85.8998333297964,31.2997222201624
"EUF","WEEDON FLD",-85.1289166602316,31.9513055501456
"3A7","EUTAW MUNI",-87.8650833299627,32.8204166598281
"GZH","EVERGREEN RGNL/MIDDLETON FLD",-87.0433611099979,31.4150000003546
"CQF","H L SONNY CALLAHAN",-87.8770277701549,30.4604999998035
"M95","RICHARD ARTHUR FLD",-87.8152086102669,33.7091058303478
"4AL7","LEON'S LANDING",-85.6898333303945,34.7447222200962
"0AL5","FLOMATON",-87.2527777704037,31.0322222197362
"0J4","FLORALA MUNI",-86.3115611096612,31.0424736099956
"0AL9","WILSON CREEK",-87.6324999996268,34.8499999999143
"0AL1","RESORT",-87.6569444404036,30.4438888801684
"02AL","BASS FLD",-87.7644444398621,30.3714638799985
"5R4","FOLEY MUNI",-87.7009722199512,30.4276666597539
"NBJ","BARIN NOLF",-87.6315600797686,30.3903138603698
"67A","FORT DEPOSIT-LOWNDES COUNTY",-86.5916413802214,31.9723708299527
"2AL5","FLYING J RANCH",-85.6649999999481,34.392777769825
"4A9","ISBELL FLD",-85.7213888798762,34.4736944401963
"OZR","CAIRNS AAF (FORT NOVOSEL)",-85.713350000129,31.2757749996581
"GAD","NORTHEAST ALABAMA RGNL",-86.089083439996,33.9726488601495
"AL18","PARKER FLD",-86.8674938799155,33.6762147203722
"AL43","HENLEY RANCH",-88.3333666595802,32.9084625001183
"33J","GENEVA MUNI",-85.86894443985,31.052624999912
"7A0","GREENSBORO MUNI",-87.6620691602162,32.6815402700549
"PRN","MAC CRENSHAW MEML",-86.6107499997887,31.8456944398491
"71AL","SELLS",-86.523524999649,31.8087861101144
"68AL","HEART OF DIXIE AERO ESTATES",-86.5250000001078,31.808399999653
"JKA","GULF SHORES INTL/JACK EDWARDS FLD",-87.671777770023,30.2896388801439
"8A1","GUNTERSVILLE MUNI/JOE STARNES FLD",-86.2608702696314,34.4061891902519
"AL10","FRERICHS",-86.4169316599252,34.6512008302116
"1M4","POSEY FLD",-87.6004166602713,34.2803333298205
"HAB","MARION COUNTY-RANKIN FITE",-87.9982222196071,34.1169444399538
"2AL7","MOUNT AERO LAKE FARM",-86.7230555503344,34.0627777702447
"AL92","HAWK FLD",-86.4035897196288,33.3073338799387
"AL62","STRIPLIN AIRFIELD",-85.6835441604117,31.0829558298554
"3AL1","FLYING H RANCH",-85.6852777696712,31.0504166602288
"5M0","HARTSELLE/MORGAN COUNTY RGNL",-86.9329444398137,34.4082222198894
"00AL","EPPS AIRPARK",-86.7702775000805,34.8648102697407
"8AL7","HAZEL GREEN ACRES",-86.6923055498124,34.9804722198703
"M38","HAZEL GREEN",-86.6470458296673,34.9161319401217
"AL99","ELKWOOD AIRPARK",-86.6840055495751,34.9807333298811
"HDL","HEADLAND MUNI",-85.31252776961,31.364138879859
"AL93","BIG SKY",-86.7099977696201,34.8856433296934
"HSV","HUNTSVILLE INTL-CARL T JONES FLD",-86.7750541595514,34.6371969402197
"3M5","MOONTOWN",-86.4609722198044,34.7473611096538
"4AL8","MILTON",-86.6734333299969,34.4905416598289
"MDQ","HUNTSVILLE EXEC TOM SHARP JR FLD",-86.5575138804194,34.8593522202042
"AL05","SEHOY",-85.4717830004206,32.2213359999082
"38AL","SAWTOOTH PLANTATION",-85.4037499996763,32.1683333299095
"2AL6","DALE O GALER AERODROME",-88.197308329704,30.4919805500599
"4R3","JACKSON MUNI",-87.8959013796641,31.4705597202142
"3AL5","EDWARDS FARM",-85.7639166597489,33.8353055502619
"JFX","WALKER COUNTY-BEVILL FLD",-87.3138333299609,33.902000000106
"5AL7","JOHN H HATAWAY",-86.1666666595963,31.2499999998996
"7A3","LANETT RGNL",-85.2294863800553,32.8118433296319
"4AL9","T W SPEAR MEML",-86.2938888800635,31.9747222200501
"AL88","BAN FARM",-87.470812769729,30.4265866597382
"AL35","MC GINNIS",-87.7044324998829,30.619636379615
"57AL","BASWELL",-87.7237500002117,30.6531944398684
"1AL5","BERRY FLD",-87.7477777700204,30.6363888798528
"AL97","WILLIAMSON FARM",-87.6705638801728,30.6451194399205
"04A","FRANK SIKES",-86.2624546300947,31.7363869399216
"7AL7","PRATT LANDING",-85.4393888799095,31.0644999997339
"2AL1","COLLIER AIRPARK",-87.7777669397175,30.4240861100845
"AL76","MAYFIELD (PVT)",-86.8699883298813,32.8487369402938
"A08","VAIDEN FLD",-87.3847777696427,32.5104999999678
"AL09","CLOUDMONT AIRPARK",-85.5922930504074,34.5408569399804
"28AL","FOSHEE",-86.3745916602863,32.4332222196966
"BFM","MOBILE INTL",-88.0680908297182,30.626780549725
"62AL","SKYWEST AIRPARK",-88.3719555497143,30.6835244401321
"26AL","RICHARDSON FLD",-88.2797222199817,30.6313888797517
"MOB","MOBILE RGNL",-88.2428333304374,30.6914166596939
"MVC","MONROE COUNTY AEROPLEX",-87.351027769771,31.458055549885
"5AL3","FLYING X RANCH",-86.8513777704434,33.1528949997152
"MXF","MAXWELL AFB",-86.3657777698075,32.3829444400599
"AL12","KERSHAW",-86.1207249995729,32.3608000001384
"MGM","MONTGOMERY RGNL (DANNELLY FLD)",-86.3939722196531,32.3006388798217
"1AL8","MOORE FLD",-86.4749055497985,33.6109305501163
"AL34","ELAM'S LANDING",-87.3861327695527,34.4470399999422
"AL44","MOUNDVILLE",-87.6370208296846,32.9694902702273
"77ID","ASHLEY",-116.406944440344,43.5244444401165
"MSL","NORTHWEST ALABAMA RGNL",-87.6102222198568,34.7453055498021
"5AL5","BIG RIVER AIRPARK",-87.651219440267,34.6920861102486
"20A","ROBBINS FLD",-86.3803888795818,33.9712777698904
"AL89","SOMMERSET STRIP",-85.3668902703444,32.718742499849
"AL71","WILLOW POINT",-85.980519159708,32.8037377702863
"3AL8","FLINT RIVER RANCH",-86.4669444399005,34.6191666602678
"71J","OZARK/BLACKWELL FLD",-85.6205339099155,31.4318120002442
"36AL","HIDDEN SPRINGS AIRPARK",-85.5342777697591,31.4928888800303
"PLR","ST CLAIR COUNTY",-86.2490555497596,33.5588333297142
"AL33","STURDY OAK FARM",-87.5938083296478,31.03603054974
"2AL8","FINKLEY FARM",-85.2480555496164,32.4211111100072
"84AL","BLESSINGS LANDING AIR RANCH",-85.5231388803232,31.3026111097125
"7AL5","LIBERTY FLD",-85.5404777702719,31.2899027699007
"AL16","TURKEY CREEK",-86.7236022201005,33.72676805012
"1A9","PRATTVILLE/GROUBY FLD",-86.5126944398664,32.4387222200138
"HUA","REDSTONE AAF",-86.6847905495726,34.6786608302924
"3M8","NORTH PICKENS",-88.0065791595587,33.386752770321
"7A5","ROANOKE MUNI ENLOE",-85.3722152704479,33.1296777696593
"AL25","SPRATLING FLD",-85.6010594397705,32.2423686099798
"AL84","VELOX",-87.6041513800139,30.5585269397228
"1AL4","ELSANOR",-87.5594444399755,30.5447222199822
"M22","BILL PUGH FLD",-87.7116388803135,34.4450833296314
"2R5","ST ELMO",-88.2751111101361,30.5019166601433
"1A4","LOGAN FLD",-86.0625999995941,31.1037027698967
"4A6","SCOTTSBORO MUNI-WORD FLD",-86.0059444404009,34.6886944402221
"SEM","CRAIG FLD",-86.9878055504465,32.3439466601172
"AL74","GRIMES FLD",-88.3058413800612,30.7643550003821
"AL41","FREEDOM FLD",-85.6254888795804,31.1160105502368
"AL04","MCCALL",-86.7711111097147,34.4795833297673
"7AL2","PETERSON FLD",-86.3108358296637,33.8648208298931
"7A6","STEVENSON",-85.8032888799124,34.8862763796442
"AL69","VAUGHN",-87.4916475003181,30.5085286100112
"4AL6","BONNER FLD",-87.6833197200521,30.4668624996144
"NFD","SUMMERDALE NOLF",-87.6468773596793,30.5076294700991
"SCD","MERKEL FLD SYLACAUGA MUNI",-86.3055277699898,33.1718333301746
"8AL2","CHARLES C KILLOUGH FLD",-86.2621349996351,33.3554259996516
"ASN","TALLADEGA MUNI",-86.0512013802602,33.5695041600961
"TOI","TROY MUNI AT N KENNETH CAMPBELL FLD",-86.0138888802622,31.8599999996273
"AL77","SMART ROAD",-86.007305549753,31.7405555497539
"TCL","TUSCALOOSA NTL",-87.6114038799512,33.220628879803
"06A","MOTON FLD MUNI",-85.6800277699107,32.4604722198577
"27AL","LITTLE TEXAS",-85.5581555496614,32.4535277696536
"07A","FRANKLIN FLD",-85.8111966604253,32.1675925001423
"M55","LAMAR COUNTY",-88.1154758299766,33.8467188800876
"6AL3","LAY LANDING",-86.3772289998744,33.3791340000584
"08A","WETUMPKA MUNI",-86.331027769853,32.5273333303089
"2AL3","EMERALD MOUNTAIN",-86.1191666597102,32.4554141597981
"AL94","EVANS FLD",-88.3772341599182,30.8126877701198
"AL17","LAZY EIGHT AIRPARK LLC",-86.5130366602604,33.2340030500212
"AL54","BIRD NEST",-87.8452777704485,33.8633333297052
"4AL5","J5 MIKE",-86.2222861100256,34.6663472198087
"26AZ","FLYING DARES RANCH",-113.202970549893,34.0119719401484
"27AZ","EAGLE ROOST AIRPARK",-113.1678166602,33.9193500001252
"28AZ","SAMPLEYS",-113.181303329868,33.9228072200157
"P01","ERIC MARCUS MUNI",-112.861416660012,32.4528888801153
"E51","BAGDAD",-113.171948609571,34.5928944398295
"31AZ","BENSON",-110.259794719989,31.9636944396825
"E95","BENSON MUNI/PAUL KERCHUM FLD",-110.357972219922,31.9994444401333
"P04","BISBEE MUNI",-109.883128609668,31.3639902698407
"62AZ","JALAPENO RANCH",-113.929811109649,33.8600583299581
"10AZ","FARM AG",-112.61877805012,33.3667083301346
"BXK","BUCKEYE MUNI",-112.686233879701,33.4225338802529
"IFP","LAUGHLIN/BULLHEAD INTL",-114.55933221957,35.1546144399653
"A20","SUN VALLEY",-114.565027770237,35.0056388797161
"1AZ8","WILLOW SPRINGS RANCH",-114.373015549846,35.2958300003207
"A09","EAGLE AIRPARK",-114.616638880376,34.8881666601128
"19AZ","MONTEZUMA",-111.865151659968,34.605023609738
"33AZ","YOLO RANCH",-112.970187220439,34.7986299998069
"18AZ","SKY RANCH AT CAREFREE",-111.8981291599,33.8186124998297
"CGZ","CASA GRANDE MUNI",-111.766820000149,32.9548980500407
"P19","STELLAR AIRPARK",-111.915787499747,33.2987711101009
"CHD","CHANDLER MUNI",-111.811121110088,33.2690961097447
"E91","CHINLE MUNI",-109.575472220333,36.1093055502443
"59AZ","ROBIN",-112.445168880132,34.7444672200737
"Z95","CIBECUE",-110.444166660192,34.0033333300354
"CFT","GREENLEE COUNTY",-109.211162300202,32.9570386296698
"AZ66","DOUBLE CIRCLE RANCH",-109.494465269657,33.3405472197973
"AZC","COLORADO CITY MUNI",-113.013888880097,36.9599444397865
"P08","COOLIDGE MUNI",-111.426472769578,32.9360238797619
"37AZ","SARITA",-111.48456666,32.9356177702221
"P52","COTTONWOOD",-112.035137220135,34.7300561102609
"AZ72","NORTHSTAR",-112.362777770232,34.2410555501837
"AZ49","AILERON ORCHARDS",-114.132097220011,35.7888666596383
"DGL","DOUGLAS MUNI",-109.506454439662,31.3426027698231
"AZ17","CIRCLE H RANCH",-109.391111110219,31.5022222201708
"P03","COCHISE COLLEGE",-109.689952770048,31.3713138803108
"DUG","BISBEE DOUGLAS INTL",-109.603749999701,31.4689444401562
"AZ88","ELOY FARMS AIRSTRIP",-111.549319440027,32.6895027697602
"E60","ELOY MUNI",-111.586626269859,32.8067218002899
"AZ04","SAWTOOTH",-111.681530549646,32.660847219772
"FLG","FLAGSTAFF PULLIAM",-111.669241380065,35.1403158299187
"FHU","SIERRA VISTA MUNI-LIBBY AAF",-110.344388879851,31.5884722198644
"5AZ9","REGENERATION",-109.987499999774,33.0327777696321
"E63","GILA BEND MUNI",-112.673637499767,32.9601694397925
"AZ05","LAKESIDE AIRPARK",-112.661666659886,33.1125000001936
"GAX","WILLIAMS AUXILIARY AIRFIELD 6",-112.816305549961,32.8852500001182
"GXF","GILA BEND AF AUX",-112.719609719578,32.8878472196361
"GEU","GLENDALE MUNI",-112.295138880166,33.5269166597348
"LUF","LUKE AFB",-112.383205219943,33.5349604999892
"P13","SAN CARLOS APACHE",-110.667361109995,33.3531388797336
"GYR","PHOENIX GOODYEAR",-112.375361110221,33.4232777699819
"GCN","GRAND CANYON NTL PARK",-112.14697221966,35.9523611099681
"40G","VALLE",-112.148054159572,35.6506458300946
"14AZ","RUBY STAR AIRPARK",-111.120972220145,31.909222220134
"68AZ","MUSIC MOUNTAIN AIR RANCH",-113.769191660417,35.4751222202755
"6AZ2","WISKY RANCH/CHEVLON",-110.62796111033,34.6168055500825
"03AZ","THOMPSON INTL AVIATION",-110.083965830002,31.4334324996779
"P14","HOLBROOK MUNI",-110.138499999686,34.9407222202998
"11AZ","WHETSTONE",-110.290077500443,31.6837019396267
"AZ21","FOUR PILLARS",-110.247777769583,31.7458333300121
"0V7","KAYENTA",-110.228444440041,36.7164444400431
"E67","KEARNY",-110.9090555501,33.0471944400433
"IGM","KINGMAN",-113.938050269687,35.2594780497268
"73AZ","DUNTON RANCH",-113.360833330029,35.2019444397964
"AZ71","BIG SANDY",-113.586643049611,34.8707569399416
"AZ97","X BAR 1 RANCH (LOWER)",-113.688830269647,35.3483291597753
"4AZ6","PARSONS FLD",-113.461597219803,34.9980638799809
"AZ45","CHINA PEAK OBSERVATORY",-110.296475269557,32.7292347200616
"AN01","AV RANCH",-110.316666659978,32.8166666601691
"9AZ2","SAGEBRUSH TRAILS ESTATES",-114.027777769596,34.5827777702108
"HII","LAKE HAVASU CITY",-114.358276940387,34.5711238803622
"AZ90","HANGAR HACIENDAS",-112.127371379911,33.3533786099215
"MZJ","PINAL AIRPARK",-111.325333330116,32.5098333301463
"AZ03","CLIFF DWELLERS",-111.752663879879,36.7344308302098
"L41","MARBLE CANYON",-111.644444440371,36.8108055499041
"AZ78","ARIZONA BAY",-112.281666659899,33.0111111100584
"AZ13","SCHU RANCH",-112.281259999756,33.0169922203718
"AZ31","SERENE FLD",-112.272370550182,32.9967149999716
"40AZ","BOULAIS RANCH",-112.129033329662,33.0789383298714
"41AZ","FARMS",-112.025696109756,32.9861624999549
